index,season,player,team,innings,balls,overs,runs_conceeded,wickets,economy,average,strike_rate
259339,2015,RN ten Doeschate,Kolkata Knight Riders,1,6,1.0,4,,4.0,,
259792,2015,S Aravind,Royal Challengers Bangalore,5,108,18.0,132,8.0,7.33,16.5,13.5
260122,2015,M de Lange,Mumbai Indians,1,24,4.0,30,,7.5,,
260484,2015,BE Hendricks,Kings XI Punjab,4,78,13.0,109,5.0,8.38,21.8,15.6
260515,2015,Gurkeerat Singh,Kings XI Punjab,3,54,9.0,66,3.0,7.33,22.0,18.0
260601,2015,J Yadav,Delhi Daredevils,3,42,7.0,29,2.0,4.14,14.5,21.0
262209,2015,AB Dinda,Royal Challengers Bangalore,2,30,5.0,62,,12.4,,
262525,2015,Azhar Mahmood,Kolkata Knight Riders,1,18,3.0,41,,13.67,,
262657,2015,BB Sran,Rajasthan Royals,1,18,3.0,35,,11.67,,
262828,2015,CH Gayle,Royal Challengers Bangalore,1,12,2.0,15,,7.5,,
263936,2015,DR Smith,Chennai Super Kings,1,12,2.0,17,1.0,8.5,17.0,12.0
264109,2016,RP Singh,Rising Pune Supergiants,4,73,12.1,111,3.0,9.12,37.0,24.33
264115,2016,I Sharma,Rising Pune Supergiants,4,90,15.0,148,3.0,9.87,49.33,30.0
264135,2016,MR Marsh,Rising Pune Supergiants,3,54,9.0,45,4.0,5.0,11.25,13.5
264156,2016,R Bhatia,Rising Pune Supergiants,10,204,34.0,244,6.0,7.18,40.67,34.0
264174,2016,M Ashwin,Rising Pune Supergiants,10,171,28.3,241,7.0,8.46,34.43,24.43
264204,2016,R Ashwin,Rising Pune Supergiants,14,264,44.0,319,10.0,7.25,31.9,26.4
264235,2016,MJ McClenaghan,Mumbai Indians,14,320,53.2,436,17.0,8.18,25.65,18.82
264241,2016,JJ Bumrah,Mumbai Indians,14,312,52.0,406,15.0,7.81,27.07,20.8
264272,2016,R Vinay Kumar,Mumbai Indians,3,54,9.0,64,3.0,7.11,21.33,18.0
264280,2016,S Gopal,Mumbai Indians,1,18,3.0,18,,6.0,,
264293,2016,Harbhajan Singh,Mumbai Indians,14,294,49.0,392,9.0,8.0,43.56,32.67
264323,2016,HH Pandya,Mumbai Indians,10,100,16.4,153,3.0,9.18,51.0,33.33
264327,2016,AD Russell,Kolkata Knight Riders,12,219,36.3,291,15.0,7.97,19.4,14.6
264334,2016,UT Yadav,Kolkata Knight Riders,9,156,26.0,234,10.0,9.0,23.4,15.6
264346,2016,JW Hastings,Kolkata Knight Riders,2,40,6.4,37,2.0,5.55,18.5,20.0
264371,2016,C Munro,Kolkata Knight Riders,2,12,2.0,15,,7.5,,
264383,2016,GB Hogg,Kolkata Knight Riders,5,96,16.0,142,4.0,8.88,35.5,24.0
264389,2016,PP Chawla,Kolkata Knight Riders,11,212,35.2,273,11.0,7.73,24.82,19.27
264437,2016,NM Coulter-Nile,Delhi Daredevils,4,90,15.0,114,3.0,7.6,38.0,30.0
264443,2016,Z Khan,Delhi Daredevils,12,262,43.4,337,10.0,7.72,33.7,26.2
264456,2016,CH Morris,Delhi Daredevils,12,264,44.0,308,13.0,7.0,23.69,20.31
264475,2016,CR Brathwaite,Delhi Daredevils,8,139,23.1,189,7.0,8.16,27.0,19.86
264481,2016,A Mishra,Delhi Daredevils,14,276,46.0,344,13.0,7.48,26.46,21.23
264527,2016,P Kumar,Gujarat Lions,16,309,51.3,401,9.0,7.79,44.56,34.33
264533,2016,PJ Sangwan,Gujarat Lions,2,24,4.0,49,,12.25,,
264551,2016,JP Faulkner,Gujarat Lions,7,102,17.0,167,2.0,9.82,83.5,51.0
264557,2016,S Ladda,Gujarat Lions,1,12,2.0,21,,10.5,,
264563,2016,RA Jadeja,Gujarat Lions,14,241,40.1,311,8.0,7.74,38.88,30.12
264582,2016,DJ Bravo,Gujarat Lions,15,336,56.0,494,17.0,8.82,29.06,19.76
264651,2016,Sandeep Sharma,Kings XI Punjab,14,300,50.0,366,15.0,7.32,24.4,20.0
264657,2016,MG Johnson,Kings XI Punjab,3,66,11.0,106,2.0,9.64,53.0,33.0
264669,2016,MM Sharma,Kings XI Punjab,14,291,48.3,407,13.0,8.39,31.31,22.38
264683,2016,MP Stoinis,Kings XI Punjab,7,138,23.0,194,8.0,8.43,24.25,17.25
264689,2016,AR Patel,Kings XI Punjab,14,287,47.5,388,13.0,8.11,29.85,22.08
264708,2016,P Sahu,Kings XI Punjab,5,105,17.3,146,3.0,8.34,48.67,35.0
264760,2016,A Nehra,Sunrisers Hyderabad,8,156,26.0,199,9.0,7.65,22.11,17.33
264766,2016,B Kumar,Sunrisers Hyderabad,17,396,66.0,490,23.0,7.42,21.3,17.22
264773,2016,Mustafizur Rahman,Sunrisers Hyderabad,16,366,61.0,421,17.0,6.9,24.76,21.53
264798,2016,MC Henriques,Sunrisers Hyderabad,17,312,52.0,415,12.0,7.98,34.58,26.0
264804,2016,KV Sharma,Sunrisers Hyderabad,5,98,16.2,171,,10.47,,
264823,2016,A Ashish Reddy,Sunrisers Hyderabad,2,23,3.5,39,1.0,10.17,39.0,23.0
264885,2016,AF Milne,Royal Challengers Bangalore,1,24,4.0,43,1.0,10.75,43.0,24.0
264892,2016,SR Watson,Royal Challengers Bangalore,16,339,56.3,485,20.0,8.58,24.25,16.95
264904,2016,Parvez Rasool,Royal Challengers Bangalore,4,84,14.0,129,1.0,9.21,129.0,84.0
264910,2016,HV Patel,Royal Challengers Bangalore,5,84,14.0,147,1.0,10.5,147.0,84.0
264929,2016,YS Chahal,Royal Challengers Bangalore,13,295,49.1,401,21.0,8.16,19.1,14.05
265010,2016,TG Southee,Mumbai Indians,11,258,43.0,329,9.0,7.65,36.56,28.67
265060,2016,J Suchith,Mumbai Indians,1,12,2.0,31,,15.5,,
265182,2016,Kuldeep Yadav,Kolkata Knight Riders,3,72,12.0,100,6.0,8.33,16.67,12.0
265262,2016,SB Jakati,Gujarat Lions,6,120,20.0,178,2.0,8.9,89.0,60.0
265274,2016,PV Tambe,Gujarat Lions,7,96,16.0,143,5.0,8.94,28.6,19.2
265495,2016,P Negi,Delhi Daredevils,5,54,9.0,84,1.0,9.33,84.0,54.0
265545,2016,J Yadav,Delhi Daredevils,5,102,17.0,125,2.0,7.35,62.5,51.0
265674,2016,GJ Maxwell,Kings XI Punjab,7,54,9.0,80,,8.89,,
265696,2016,M Morkel,Kolkata Knight Riders,10,213,35.3,297,10.0,8.37,29.7,21.3
265724,2016,Shakib Al Hasan,Kolkata Knight Riders,9,186,31.0,243,5.0,7.84,48.6,37.2
265748,2016,SP Narine,Kolkata Knight Riders,11,256,42.4,304,11.0,7.12,27.64,23.27
265827,2016,BB Sran,Sunrisers Hyderabad,14,297,49.3,413,14.0,8.34,29.5,21.21
265942,2016,DS Kulkarni,Gujarat Lions,14,294,49.0,364,18.0,7.43,20.22,16.33
266094,2016,KH Pandya,Mumbai Indians,11,187,31.1,236,6.0,7.57,39.33,31.17
266193,2016,KJ Abbott,Kings XI Punjab,5,96,16.0,177,2.0,11.06,88.5,48.0
266316,2016,Ankit Sharma,Rising Pune Supergiants,3,66,11.0,84,1.0,7.64,84.0,66.0
266366,2016,IK Pathan,Rising Pune Supergiants,3,48,8.0,61,,7.62,,
266372,2016,NLTC Perera,Rising Pune Supergiants,11,199,33.1,326,9.0,9.83,36.22,22.11
266442,2016,Mohammed Shami,Delhi Daredevils,8,151,25.1,244,5.0,9.7,48.8,30.2
266545,2016,S Aravind,Royal Challengers Bangalore,9,175,29.1,216,11.0,7.41,19.64,15.91
266590,2016,D Wiese,Royal Challengers Bangalore,1,24,4.0,49,,12.25,,
266712,2016,Bipul Sharma,Sunrisers Hyderabad,6,84,14.0,121,3.0,8.64,40.33,28.0
266976,2016,YK Pathan,Kolkata Knight Riders,4,36,6.0,33,1.0,5.5,33.0,36.0
267258,2016,VR Aaron,Royal Challengers Bangalore,8,142,23.4,227,2.0,9.59,113.5,71.0
267264,2016,KW Richardson,Royal Challengers Bangalore,4,84,14.0,136,8.0,9.71,17.0,10.5
267308,2016,Iqbal Abdulla,Royal Challengers Bangalore,8,150,25.0,213,6.0,8.52,35.5,25.0
267326,2016,STR Binny,Royal Challengers Bangalore,11,102,17.0,134,1.0,7.88,134.0,102.0
267399,2016,DJ Hooda,Sunrisers Hyderabad,6,78,13.0,97,3.0,7.46,32.33,26.0
267492,2016,DW Steyn,Gujarat Lions,1,12,2.0,17,,8.5,,
267525,2016,SK Raina,Gujarat Lions,4,60,10.0,82,,8.2,,
267752,2016,T Shamsi,Royal Challengers Bangalore,4,96,16.0,147,3.0,9.19,49.0,32.0
267921,2016,KA Pollard,Mumbai Indians,4,36,6.0,81,,13.5,,
268011,2016,Imran Tahir,Delhi Daredevils,4,96,16.0,138,5.0,8.62,27.6,19.2
268250,2016,R Dhawan,Kings XI Punjab,2,42,7.0,56,2.0,8.0,28.0,21.0
268626,2016,R Sathish,Kolkata Knight Riders,3,36,6.0,59,1.0,9.83,59.0,36.0
268692,2016,JA Morkel,Rising Pune Supergiants,2,30,5.0,66,2.0,13.2,33.0,15.0
269063,2016,AB Dinda,Rising Pune Supergiants,9,183,30.3,231,11.0,7.57,21.0,16.64
269265,2016,S Nadeem,Delhi Daredevils,4,90,15.0,127,2.0,8.47,63.5,45.0
269343,2016,JP Duminy,Delhi Daredevils,5,42,7.0,55,2.0,7.86,27.5,21.0
269428,2016,DR Smith,Gujarat Lions,8,108,18.0,153,8.0,8.5,19.12,13.5
269621,2016,JD Unadkat,Kolkata Knight Riders,1,18,3.0,49,,16.33,,
269777,2016,S Kaushik,Gujarat Lions,7,138,23.0,192,6.0,8.35,32.0,23.0
269992,2016,JO Holder,Kolkata Knight Riders,4,78,13.0,103,2.0,7.92,51.5,39.0
270625,2016,KC Cariappa,Kings XI Punjab,5,102,17.0,159,3.0,9.35,53.0,34.0
270650,2016,Gurkeerat Singh,Kings XI Punjab,3,24,4.0,31,2.0,7.75,15.5,12.0
270869,2016,SM Boland,Rising Pune Supergiants,2,42,7.0,54,2.0,7.71,27.0,21.0
271470,2016,Swapnil Singh,Kings XI Punjab,1,18,3.0,29,,9.67,,
271979,2016,Yuvraj Singh,Sunrisers Hyderabad,5,37,6.1,52,,8.43,,
272183,2016,CJ Jordan,Royal Challengers Bangalore,9,168,28.0,258,11.0,9.21,23.45,15.27
272333,2016,A Zampa,Rising Pune Supergiants,5,102,17.0,115,12.0,6.76,9.58,8.5
273124,2016,Anureet Singh,Kings XI Punjab,2,36,6.0,43,,7.17,,
274520,2016,V Kohli,Royal Challengers Bangalore,1,6,1.0,13,,13.0,,
274536,2016,CH Gayle,Royal Challengers Bangalore,4,60,10.0,63,2.0,6.3,31.5,30.0
274555,2016,Sachin Baby,Royal Challengers Bangalore,2,10,1.4,8,2.0,4.8,4.0,5.0
274602,2016,AS Rajpoot,Kolkata Knight Riders,4,66,11.0,98,3.0,8.91,32.67,22.0
274731,2016,BCJ Cutting,Sunrisers Hyderabad,4,67,11.1,80,5.0,7.16,16.0,13.4
274827,2016,M Vijay,Kings XI Punjab,1,6,1.0,8,,8.0,,
275126,2016,N Rana,Mumbai Indians,1,6,1.0,3,,3.0,,
275426,2016,DL Chahar,Rising Pune Supergiants,2,30,5.0,41,,8.2,,
276770,2016,KS Williamson,Sunrisers Hyderabad,1,6,1.0,7,,7.0,,
277720,2016,TA Boult,Sunrisers Hyderabad,1,24,4.0,39,1.0,9.75,39.0,24.0
