index,season,player,team,innings,balls,overs,runs_conceeded,wickets,economy,average,strike_rate
236646,2014,MG Johnson,Kings XI Punjab,14,321,53.3,444,17.0,8.3,26.12,18.88
236652,2014,L Balaji,Kings XI Punjab,9,204,34.0,299,12.0,8.79,24.92,17.0
236680,2014,R Dhawan,Kings XI Punjab,13,284,47.2,365,13.0,7.71,28.08,21.85
236698,2014,GJ Maxwell,Kings XI Punjab,7,66,11.0,132,1.0,12.0,132.0,66.0
236760,2014,A Nehra,Chennai Super Kings,4,90,15.0,142,8.0,9.47,17.75,11.25
236766,2014,MM Sharma,Chennai Super Kings,16,323,53.5,452,23.0,8.4,19.65,14.04
236778,2014,R Ashwin,Chennai Super Kings,16,359,59.5,437,16.0,7.3,27.31,22.44
236799,2014,P Negi,Chennai Super Kings,2,42,7.0,75,,10.71,,
236805,2014,RA Jadeja,Chennai Super Kings,16,326,54.2,443,19.0,8.15,23.32,17.16
236842,2014,DR Smith,Chennai Super Kings,5,60,10.0,95,4.0,9.5,23.75,15.0
236878,2014,DS Kulkarni,Rajasthan Royals,8,162,27.0,221,6.0,8.19,36.83,27.0
236884,2014,KW Richardson,Rajasthan Royals,7,162,27.0,206,9.0,7.63,22.89,18.0
236891,2014,JP Faulkner,Rajasthan Royals,13,264,44.0,429,11.0,9.75,39.0,24.0
236917,2014,PV Tambe,Rajasthan Royals,13,294,49.0,356,15.0,7.27,23.73,19.6
236923,2014,R Bhatia,Rajasthan Royals,12,228,38.0,283,12.0,7.45,23.58,19.0
236935,2014,STR Binny,Rajasthan Royals,8,54,9.0,64,3.0,7.11,21.33,18.0
237003,2014,DW Steyn,Sunrisers Hyderabad,14,336,56.0,431,11.0,7.7,39.18,30.55
237009,2014,B Kumar,Sunrisers Hyderabad,14,320,53.2,354,20.0,6.64,17.7,16.0
237027,2014,I Sharma,Sunrisers Hyderabad,3,66,11.0,101,3.0,9.18,33.67,22.0
237046,2014,DJG Sammy,Sunrisers Hyderabad,8,84,14.0,157,3.0,11.21,52.33,28.0
237053,2014,A Mishra,Sunrisers Hyderabad,10,225,37.3,340,7.0,9.07,48.57,32.14
237077,2014,KV Sharma,Sunrisers Hyderabad,14,304,50.4,376,15.0,7.42,25.07,20.27
237282,2014,JJ Bumrah,Mumbai Indians,11,238,39.4,301,5.0,7.59,60.2,47.6
237361,2014,NM Coulter-Nile,Delhi Daredevils,1,24,4.0,27,2.0,6.75,13.5,12.0
237387,2014,JD Unadkat,Delhi Daredevils,9,187,31.1,270,10.0,8.66,27.0,18.7
237639,2014,M Kartik,Kings XI Punjab,2,48,8.0,91,1.0,11.38,91.0,48.0
237908,2014,M Vijay,Delhi Daredevils,1,6,1.0,13,,13.0,,
237963,2014,IC Pandey,Chennai Super Kings,12,252,42.0,318,6.0,7.57,53.0,42.0
237969,2014,BW Hilfenhaus,Chennai Super Kings,8,168,28.0,246,8.0,8.79,30.75,21.0
238071,2014,IK Pathan,Sunrisers Hyderabad,10,142,23.4,205,4.0,8.66,51.25,35.5
238183,2014,Sandeep Sharma,Kings XI Punjab,11,241,40.1,354,18.0,8.81,19.67,13.39
238310,2014,TG Southee,Rajasthan Royals,3,60,10.0,76,,7.6,,
238396,2014,SR Watson,Rajasthan Royals,9,126,21.0,165,7.0,7.86,23.57,18.0
238474,2014,SK Raina,Chennai Super Kings,8,108,18.0,134,1.0,7.44,134.0,108.0
238589,2014,M Muralitharan,Royal Challengers Bangalore,5,96,16.0,124,3.0,7.75,41.33,32.0
238676,2014,UT Yadav,Kolkata Knight Riders,12,270,45.0,367,11.0,8.16,33.36,24.55
238873,2014,LR Shukla,Delhi Daredevils,5,56,9.2,83,1.0,8.89,83.0,56.0
238940,2014,Y Venugopal Rao,Sunrisers Hyderabad,2,12,2.0,16,,8.0,,
239379,2014,R Rampaul,Royal Challengers Bangalore,2,36,6.0,37,1.0,6.17,37.0,36.0
239886,2014,RG Sharma,Mumbai Indians,2,18,3.0,26,1.0,8.67,26.0,18.0
240555,2014,Iqbal Abdulla,Rajasthan Royals,1,12,2.0,17,,8.5,,
241004,2014,AD Russell,Kolkata Knight Riders,2,30,5.0,52,1.0,10.4,52.0,30.0
241636,2014,HV Patel,Royal Challengers Bangalore,3,66,11.0,113,4.0,10.27,28.25,16.5
241915,2014,RN ten Doeschate,Kolkata Knight Riders,4,30,5.0,35,1.0,7.0,35.0,30.0
242020,2014,R Tewatia,Rajasthan Royals,3,54,9.0,59,2.0,6.56,29.5,27.0
242475,2014,P Suyal,Mumbai Indians,1,18,3.0,35,1.0,11.67,35.0,18.0
242599,2014,SA Yadav,Kolkata Knight Riders,1,6,1.0,8,,8.0,,
242752,2014,S Kaul,Delhi Daredevils,5,78,13.0,126,2.0,9.69,63.0,39.0
243240,2014,MC Henriques,Sunrisers Hyderabad,4,60,10.0,96,4.0,9.6,24.0,15.0
243499,2014,Shivam Sharma,Kings XI Punjab,4,96,16.0,121,3.0,7.56,40.33,32.0
243717,2014,Imran Tahir,Delhi Daredevils,6,125,20.5,171,9.0,8.21,19.0,13.89
243724,2014,R Shukla,Delhi Daredevils,3,54,9.0,98,2.0,10.89,49.0,27.0
243732,2014,S Badree,Chennai Super Kings,4,84,14.0,97,2.0,6.93,48.5,42.0
243856,2014,P Kumar,Mumbai Indians,3,72,12.0,78,3.0,6.5,26.0,24.0
244750,2014,V Shankar,Chennai Super Kings,1,6,1.0,19,,19.0,,
244816,2014,Ankit Sharma,Rajasthan Royals,2,48,8.0,43,4.0,5.38,10.75,12.0
244848,2014,KK Cooper,Rajasthan Royals,5,108,18.0,134,4.0,7.44,33.5,27.0
245089,2014,AN Ahmed,Royal Challengers Bangalore,4,86,14.2,113,3.0,7.88,37.67,28.67
245482,2014,YK Pathan,Kolkata Knight Riders,1,6,1.0,10,,10.0,,
245618,2014,LMP Simmons,Mumbai Indians,1,18,3.0,34,1.0,11.33,34.0,18.0
245739,2014,MK Tiwary,Delhi Daredevils,1,12,2.0,28,,14.0,,
245802,2014,BCJ Cutting,Rajasthan Royals,1,24,4.0,31,1.0,7.75,31.0,24.0
246002,2014,S Rana,Royal Challengers Bangalore,2,12,2.0,16,,8.0,,
246137,2014,DJ Hussey,Chennai Super Kings,1,17,2.5,38,2.0,13.41,19.0,8.5
246541,2014,K Santokie,Mumbai Indians,2,48,8.0,90,3.0,11.25,30.0,16.0
246586,2014,S Gopal,Mumbai Indians,4,84,14.0,113,6.0,8.07,18.83,14.0
246667,2014,BE Hendricks,Kings XI Punjab,3,72,12.0,126,4.0,10.5,31.5,18.0
246938,2014,Parvez Rasool,Sunrisers Hyderabad,3,54,9.0,83,1.0,9.22,83.0,54.0
247164,2014,PJ Cummins,Kolkata Knight Riders,1,24,4.0,29,1.0,7.25,29.0,24.0
248019,2014,JW Hastings,Chennai Super Kings,1,18,3.0,29,1.0,9.67,29.0,18.0
248248,2014,M de Lange,Mumbai Indians,1,24,4.0,32,2.0,8.0,16.0,12.0
248365,2014,VS Malik,Rajasthan Royals,1,18,3.0,29,1.0,9.67,29.0,18.0
248532,2014,Karanveer Singh,Kings XI Punjab,5,120,20.0,164,11.0,8.2,14.91,10.91
248736,2014,SB Jakati,Royal Challengers Bangalore,1,22,3.4,41,,11.18,,
248991,2014,JO Holder,Sunrisers Hyderabad,1,18,3.0,35,1.0,11.67,35.0,18.0
250457,2015,UT Yadav,Kolkata Knight Riders,12,252,42.0,382,10.0,9.1,38.2,25.2
250463,2015,M Morkel,Kolkata Knight Riders,7,168,28.0,206,10.0,7.36,20.6,16.8
250481,2015,Shakib Al Hasan,Kolkata Knight Riders,4,84,14.0,123,4.0,8.79,30.75,21.0
250494,2015,SP Narine,Kolkata Knight Riders,8,192,32.0,234,7.0,7.31,33.43,27.43
250512,2015,AD Russell,Kolkata Knight Riders,13,244,40.4,324,14.0,7.97,23.14,17.43
250518,2015,PP Chawla,Kolkata Knight Riders,13,210,35.0,269,11.0,7.69,24.45,19.09
