index_bat,index_bowl,season,player,team,innings_bat,runs_bat,balls_bat,sr_bat,dismissals_bat,avg_bat,innings_bowl,ballys_bowl,overs_bowl,runs_bowl,wickets_bowl,economy_bowl,avg_bowl,sr_bowl
183492,184423,2011,JP Duminy,DeC,10,205,175,117.14,10,20.5,8,108,18,143,4,7.94,35.75,27
,198681,2011,JP Faulkner,PW,,,,,,,1,12,2,9,1,4.5,9,12
187017,186815,2011,JR Hopes,DD,8,196,158,124.05,5,39.2,9,192,32,272,7,8.5,38.86,27.43
188617,188404,2011,Joginder Sharma,CSK,1,0,1,0,1,0,1,18,3,34,,11.33,,
188497,183975,2011,KA Pollard,MI,12,146,132,110.61,10,14.6,16,255,42.3,361,10,8.49,36.1,25.5
196609,,2011,KB Arun Karthik,RCB,2,7,8,87.5,2,3.5,,,,,,,,
183474,,2011,KC Sangakkara,DeC,13,358,291,123.02,13,27.54,,,,,,,,
184153,,2011,KD Karthik,KXIP,13,282,220,128.18,11,25.64,,,,,,,,
187952,,2011,KM Jadhav,KTK,4,18,23,78.26,3,6,,,,,,,,
,190072,2011,KMDN Kulasekara,CSK,,,,,,,1,18,3,26,1,8.67,26,18
,191043,2011,Kamran Khan,PW,,,,,,,1,18,3,47,,15.67,,
194171,193983,2011,L Ablish,KXIP,1,0,2,0,0,0,1,18,3,39,,13,,
188123,183225,2011,L Balaji,KKR,2,4,2,200,0,4,14,266,44.2,371,10,8.37,37.1,26.6
196548,,2011,LA Pomersbach,RCB,4,51,39,130.77,4,12.75,,,,,,,,
183425,,2011,LR Shukla,KKR,1,14,10,140,1,14,,,,,,,,
183644,195939,2011,LRPL Taylor,RR,11,181,151,119.87,5,36.2,1,6,1,11,,11,,
191143,,2011,M Kaif,RCB,4,41,33,124.24,3,13.67,,,,,,,,
187702,184175,2011,M Kartik,PW,2,12,15,80,1,12,6,125,20.5,166,1,7.97,166,125
191403,,2011,M Klinger,KTK,4,73,76,96.05,4,18.25,,,,,,,,
184270,184212,2011,M Manhas,PW,10,114,123,92.68,10,11.4,3,42,7,42,,6,,
184021,184042,2011,M Morkel,DD,5,40,24,166.67,2,20,11,258,43,325,13,7.56,25,19.85
189475,183845,2011,M Muralitharan,KTK,1,5,7,71.43,0,5,5,114,19,141,2,7.42,70.5,57
183202,,2011,M Vijay,CSK,16,434,339,128.02,16,27.12,,,,,,,,
183805,,2011,MA Agarwal,RCB,7,141,120,117.5,7,20.14,,,,,,,,
185507,,2011,MD Mishra,PW,5,67,60,111.67,4,16.75,,,,,,,,
186296,,2011,MEK Hussey,CSK,14,492,413,119.13,12,41,,,,,,,,
196621,,2011,MJ Lumb,DeC,1,0,2,0,1,0,,,,,,,,
189714,,2011,MK Pandey,PW,9,246,229,107.42,9,27.33,,,,,,,,
183400,188820,2011,MK Tiwary,KKR,13,359,324,110.8,7,51.29,2,12,2,23,,11.5,,
195739,183957,2011,MM Patel,MI,1,0,1,0,1,0,15,326,54.2,358,22,6.59,16.27,14.82
190153,190229,2011,MR Marsh,PW,3,50,49,102.04,2,25,5,85,14.1,99,7,6.99,14.14,12.14
183321,,2011,MS Bisla,KKR,5,72,90,80,5,14.4,,,,,,,,
183264,,2011,MS Dhoni,CSK,13,392,246,159.35,9,43.56,,,,,,,,
186647,185707,2011,MS Gony,DeC,2,0,2,0,1,0,3,54,9,85,4,9.44,21.25,13.5
186984,,2011,MS Wade,DD,3,22,33,66.67,3,7.33,,,,,,,,
193681,,2011,MV Boucher,KKR,2,6,6,100,1,6,,,,,,,,
194914,,2011,Mandeep Singh,KXIP,5,47,41,114.63,4,11.75,,,,,,,,
197216,185961,2011,ND Doshi,RR,1,0,13,0,1,0,3,32,5.2,62,1,11.62,62,32
184268,184276,2011,NJ Rimmington,KXIP,1,1,1,100,0,1,1,18,3,19,,6.33,,
189777,189575,2011,NL McCullum,PW,2,26,22,118.18,1,26,2,30,5,34,,6.8,,
189462,186080,2011,NLTC Perera,KTK,2,23,27,85.19,2,11.5,4,84,14,111,2,7.93,55.5,42
