index,season,player,team,innings,runs,balls,strike_rate,dismissals,average
2091,2017,DL Chahar,Rising Pune Supergiant,1,14,6,233.33,1.0,14.0
2097,2017,A Zampa,Rising Pune Supergiant,1,5,7,71.43,1.0,5.0
2103,2017,AB Dinda,Rising Pune Supergiant,1,7,7,100.0,1.0,7.0
2113,2017,Imran Tahir,Rising Pune Supergiant,1,0,2,0.0,0.0,0.0
2213,2017,NV Ojha,Sunrisers Hyderabad,5,79,65,121.54,4.0,19.75
2228,2017,V Shankar,Sunrisers Hyderabad,4,101,75,134.67,2.0,50.5
2231,2017,Rashid Khan,Sunrisers Hyderabad,3,11,9,122.22,2.0,5.5
2238,2017,B Kumar,Sunrisers Hyderabad,2,4,4,100.0,1.0,4.0
2391,2017,MP Stoinis,Kings XI Punjab,3,17,24,70.83,3.0,5.67
2470,2017,MM Sharma,Kings XI Punjab,7,51,50,102.0,6.0,8.5
2476,2017,VR Aaron,Kings XI Punjab,2,4,10,40.0,1.0,4.0
2590,2017,V Kohli,Royal Challengers Bangalore,10,308,252,122.22,10.0,30.8
2728,2017,MJ McClenaghan,Mumbai Indians,5,16,15,106.67,4.0,4.0
2920,2017,Ankit Sharma,Rising Pune Supergiant,1,25,15,166.67,1.0,25.0
2952,2017,SN Thakur,Rising Pune Supergiant,3,0,3,0.0,3.0,0.0
2953,2017,RD Chahar,Rising Pune Supergiant,1,3,2,150.0,0.0,3.0
2954,2017,LH Ferguson,Rising Pune Supergiant,1,1,1,100.0,0.0,1.0
3187,2017,C de Grandhomme,Kolkata Knight Riders,9,126,92,136.96,8.0,15.75
3301,2017,Bipul Sharma,Sunrisers Hyderabad,3,31,24,129.17,1.0,31.0
3364,2017,SS Iyer,Delhi Daredevils,12,338,243,139.09,10.0,33.8
3465,2017,EJG Morgan,Kings XI Punjab,4,65,62,104.84,4.0,16.25
3559,2017,KC Cariappa,Kings XI Punjab,2,2,7,28.57,2.0,1.0
3561,2017,Sandeep Sharma,Kings XI Punjab,2,7,6,116.67,0.0,7.0
3636,2017,Ishan Kishan,Gujarat Lions,10,277,205,135.12,10.0,27.7
3926,2017,JD Unadkat,Rising Pune Supergiant,1,2,5,40.0,0.0,2.0
4053,2017,AF Milne,Royal Challengers Bangalore,3,7,12,58.33,2.0,3.5
4056,2017,S Badree,Royal Challengers Bangalore,5,13,23,56.52,5.0,2.6
4159,2017,AD Mathews,Delhi Daredevils,2,32,27,118.52,2.0,16.0
4188,2017,Mohammed Shami,Delhi Daredevils,6,36,24,150.0,4.0,9.0
4431,2017,Mohammad Nabi,Sunrisers Hyderabad,1,2,3,66.67,1.0,2.0
4549,2017,I Sharma,Kings XI Punjab,3,8,12,66.67,2.0,4.0
4757,2017,RA Jadeja,Gujarat Lions,10,158,113,139.82,4.0,39.5
