index_bat,index_bowl,season,player,team,innings_bat,runs_bat,balls_bat,sr_bat,dismissals_bat,avg_bat,innings_bowl,ballys_bowl,overs_bowl,runs_bowl,wickets_bowl,economy_bowl,avg_bowl,sr_bowl
265097,264327,2016,Andre Russell,KKR,8,188,114,164.91,7,26.86,12,219,36.3,291,15,7.97,19.4,14.6
,264885,2016,Adam Milne,RCB,,,,,,,1,24,4,43,1,10.75,43,24
264651,,2016,Aaron Finch,GL,12,393,298,131.88,10,39.3,,,,,,,,
264235,,2016,Ajinkya Rahane,RPS,14,480,379,126.65,11,43.64,,,,,,,,
268276,,2016,Aditya Tare,SRH,2,8,15,53.33,2,4,,,,,,,,
264649,264689,2016,Axar Rajesh Patel,KXIP,10,111,77,144.16,7,15.86,14,287,47.5,388,13,8.11,29.85,22.08
,274602,2016,Ankit Singh Rajpoot,KKR,,,,,,,4,66,11,98,3,8.91,32.67,22
264136,,2016,Ambati Rayudu,MI,12,334,277,120.58,11,30.36,,,,,,,,
267833,266316,2016,Ankit Sharma,RPS,1,3,3,100,0,3,3,66,11,84,1,7.64,84,66
,273124,2016,Anureet Singh,KXIP,,,,,,,2,36,6,43,,7.17,,
265820,264766,2016,Bhuvneshwar Kumar,SRH,8,43,27,159.26,6,7.17,17,396,66,490,23,7.42,21.3,17.22
264655,,2016,Brendon McCullum,GL,16,354,262,135.11,16,22.12,,,,,,,,
273485,265827,2016,Barinder Singh Sran,SRH,3,4,4,100,0,4,14,297,49.3,413,14,8.34,29.5,21.21
274921,274731,2016,Ben Cutting,SRH,4,65,34,191.18,2,32.5,4,67,11.1,80,5,7.16,16,13.4
269164,266712,2016,Bipul Sharma,SRH,4,51,25,204,2,25.5,6,84,14,121,3,8.64,40.33,28
265127,264371,2016,Colin Munro,KKR,3,30,30,100,3,10,2,12,2,15,,7.5,,
269596,,2016,Chris Lynn,KKR,2,25,22,113.64,1,25,,,,,,,,
264760,274536,2016,Christopher Gayle,RCB,10,227,150,151.33,10,22.7,4,60,10,63,2,6.3,31.5,30
264395,264456,2016,Christopher Morris,DD,7,195,109,178.9,3,65,12,264,44,308,13,7,23.69,20.31
278194,272183,2016,Chris Jordan,RCB,1,3,4,75,1,3,9,168,28,258,11,9.21,23.45,15.27
264390,264475,2016,Carlos Brathwaite,DD,6,83,38,218.42,6,13.83,8,139,23.1,189,7,8.16,27,19.86
266536,266590,2016,David Wiese,RCB,1,5,4,125,0,5,1,24,4,49,,12.25,,
264578,,2016,David Miller,KXIP,13,161,130,123.85,10,16.1,,,,,,,,
264885,,2016,David Warner,SRH,17,848,559,151.7,14,60.57,,,,,,,,
264756,264582,2016,Dwayne Bravo,GL,12,99,82,120.73,8,12.38,15,336,56,494,17,8.82,29.06,19.76
264948,267399,2016,Deepak Hooda,SRH,15,144,119,121.01,14,10.29,6,78,13,97,3,7.46,32.33,26
,275426,2016,Deepak Chahar,RPS,,,,,,,2,30,5,41,,8.2,,
268448,269428,2016,Dwayne Smith,GL,12,324,220,147.27,11,29.45,8,108,18,153,8,8.5,19.12,13.5
266179,265942,2016,Dhawal Kulkarni,GL,5,27,16,168.75,2,13.5,14,294,49,364,18,7.43,20.22,16.33
267489,267492,2016,Dale Steyn,GL,1,1,2,50,1,1,1,12,2,17,,8.5,,
