Sr.No.,Player,Nationality,Type,Season
213,Mukhtar Hussain,Indian,Spinner,2025
99,Murgan Ashwin,Indian,Spinner,2025
99,Murgan Ashwin,Indian,Spinner,2024
237,Nitin Verma,Indian,Spinner,2025
258,Pankaj Yadav,Indian,Spinner,2025
100,Pulkit Narang,Indian,Spinner,2024
250,Raghav Goyal,Indian,Spinner,2025
233,Rahul Shukla,Indian,Spinner,2025
85,S Midhun,Indian,Spinner,2025
85,S Midhun,Indian,Spinner,2024
205,Sachin Bhosale,Indian,Spinner,2025
205,Sachin Bhosale,Indian,Spinner,2024
101,Shiva  Singh,Indian,Spinner,2024
254,Shivam  Sharma,Indian,Spinner,2025
251,Shreyas Gurav,Indian,Spinner,2025
242,Shubham Agrawal,Indian,Spinner,2025
210,Vishal Godara,Indian,Spinner,2025
166,Aditya Tare,Indian,Wicket Keeper,2022
165,Akshdeep  Nath,Indian,Wicket Keeper,2022
161,Ankush Bains,Indian,Wicket Keeper,2022
129,Arun  Karthick,Indian,Wicket Keeper,2022
196,B.R. Sharath,Indian,Wicket Keeper,2022
193,Eknath Kerkar,Indian,Wicket Keeper,2022
237,Fazil Makaya,Indian,Wicket Keeper,2022
393,Hardik Tamore,Indian,Wicket Keeper,2022
234,Harvik  Desai,Indian,Wicket Keeper,2022
197,K.L. Shrijith,Indian,Wicket Keeper,2022
191,Kaif Ahmad,Indian,Wicket Keeper,2022
163,Kedar Devdhar,Indian,Wicket Keeper,2022
137,Mohammed Azharuddeen,Indian,Wicket Keeper,2022
194,Nikhil Naik,Indian,Wicket Keeper,2022
162,Prashant Chopra,Indian,Wicket Keeper,2022
233,Rahul Chandrol,Indian,Wicket Keeper,2022
239,Sandeep Kumar Tomar,Indian,Wicket Keeper,2022
164,Shreevats Goswami,Indian,Wicket Keeper,2022
192,Shubhum Arora,Indian,Wicket Keeper,2022
240,Siddhesh Wath,Indian,Wicket Keeper,2022
236,Tarang Gohel,Indian,Wicket Keeper,2022
167,Upendra Singh Yadav,Indian,Wicket Keeper,2022
195,Urvil Patel,Indian,Wicket Keeper,2022
138,Vishnu Solanki,Indian,Wicket Keeper,2022
173,Abhijeet Tomar,Indian,Wicket-Keeper,2023
170,Abishek Porel,Indian,Wicket-Keeper,2023
198,Aditya Tare,Indian,Wicket-Keeper,2025
198,Aditya Tare,Indian,Wicket-Keeper,2024
167,Agniv Pan,Indian,Wicket-Keeper,2023
161,Ajitesh Guruswamy,Indian,Wicket-Keeper,2023
221,Akshdeep Nath,Indian,Wicket-Keeper,2023
215,Ankush Bains,Indian,Wicket-Keeper,2023
188,Anmol Malhotra,Indian,Wicket-Keeper,2025
188,Anmol Malhotra,Indian,Wicket-Keeper,2024
165,Anmol Malhotra,Indian,Wicket-Keeper,2023
124,Aryan Juyal,Indian,Wicket-Keeper,2023
223,Ateev Saini,Indian,Wicket-Keeper,2023
197,Avneesh Sudha,Indian,Wicket-Keeper,2025
197,Avneesh Sudha,Indian,Wicket-Keeper,2024
195,B.R. Sharath,Indian,Wicket-Keeper,2025
195,B.R. Sharath,Indian,Wicket-Keeper,2024
225,B.R. Sharath,Indian,Wicket-Keeper,2023
186,Baba Indrajith,Indian,Wicket-Keeper,2025
186,Baba Indrajith,Indian,Wicket-Keeper,2024
122,Baba Indrajith,Indian,Wicket-Keeper,2023
187,Bhagmender Lather,Indian,Wicket-Keeper,2025
187,Bhagmender Lather,Indian,Wicket-Keeper,2024
171,Bharat Sharma,Indian,Wicket-Keeper,2023
194,Bipin  Saurabh,Indian,Wicket-Keeper,2025
194,Bipin  Saurabh,Indian,Wicket-Keeper,2024
224,Bipin Saurabh,Indian,Wicket-Keeper,2023
189,Darshan Misal,Indian,Wicket-Keeper,2025
189,Darshan Misal,Indian,Wicket-Keeper,2024
222,Deepak Punia,Indian,Wicket-Keeper,2023
101,Dinesh Bana,Indian,Wicket-Keeper,2023
220,Fazil Makaya,Indian,Wicket-Keeper,2023
180,G. Ajitesh,Indian,Wicket-Keeper,2025
180,G. Ajitesh,Indian,Wicket-Keeper,2024
182,Gourav Choudhary,Indian,Wicket-Keeper,2025
182,Gourav Choudhary,Indian,Wicket-Keeper,2024
183,Harvik  Desai,Indian,Wicket-Keeper,2025
183,Harvik  Desai,Indian,Wicket-Keeper,2024
196,K.L. Shrijith,Indian,Wicket-Keeper,2025
196,K.L. Shrijith,Indian,Wicket-Keeper,2024
125,Kirant Shinde,Indian,Wicket-Keeper,2023
164,Kumar Kushagra,Indian,Wicket-Keeper,2023
181,L.R. Chethan,Indian,Wicket-Keeper,2025
181,L.R. Chethan,Indian,Wicket-Keeper,2024
227,Lakshay Thareja,Indian,Wicket-Keeper,2023
126,Luvnith Sisodia,Indian,Wicket-Keeper,2023
192,Mahesh Pithiya,Indian,Wicket-Keeper,2025
192,Mahesh Pithiya,Indian,Wicket-Keeper,2024
219,Mamidi Krishna,Indian,Wicket-Keeper,2023
169,Mitesh Patel,Indian,Wicket-Keeper,2023
100,Mohammed Azharuddeen,Indian,Wicket-Keeper,2023
218,Mohd Arslan Khan,Indian,Wicket-Keeper,2023
179,Mohit Ahlawat,Indian,Wicket-Keeper,2025
179,Mohit Ahlawat,Indian,Wicket-Keeper,2024
199,Nihal Ullal,Indian,Wicket-Keeper,2025
199,Nihal Ullal,Indian,Wicket-Keeper,2024
190,Nikhil Naik,Indian,Wicket-Keeper,2025
190,Nikhil Naik,Indian,Wicket-Keeper,2024
191,Prasad Pawar,Indian,Wicket-Keeper,2025
191,Prasad Pawar,Indian,Wicket-Keeper,2024
168,Priyesh Patel,Indian,Wicket-Keeper,2023
121,Ricky Bhui,Indian,Wicket-Keeper,2023
166,Robin Minz,Indian,Wicket-Keeper,2023
184,Shakir Gandhi,Indian,Wicket-Keeper,2025
184,Shakir Gandhi,Indian,Wicket-Keeper,2024
123,Sheldon Jackson,Indian,Wicket-Keeper,2023
185,Sumit Ghadigaonkar,Indian,Wicket-Keeper,2025
185,Sumit Ghadigaonkar,Indian,Wicket-Keeper,2024
103,Sumit Kumar,Indian,Wicket-Keeper,2023
163,Suresh Kumar,Indian,Wicket-Keeper,2023
95,Urvil Patel,Indian,Wicket-Keeper,2025
95,Urvil Patel,Indian,Wicket-Keeper,2024
96,Vishnu Solanki,Indian,Wicket-Keeper,2025
96,Vishnu Solanki,Indian,Wicket-Keeper,2024
127,Vishnu Solanki,Indian,Wicket-Keeper,2023
172,Vivek Singh,Indian,Wicket-Keeper,2023
162,Yash Kothari,Indian,Wicket-Keeper,2023
226,Yashovardhan Singh,Indian,Wicket-Keeper,2023
388,Aaron  Hardie,Overseas,All-Rounder,2022
67,Afif Hossain,Overseas,All-Rounder,2023
378,Aidan Cahill,Overseas,All-Rounder,2022
74,Akeal Hosein,Overseas,All-Rounder,2022
118,Anaru  Kitchen,Overseas,All-Rounder,2022
121,Andile Phehlukwayo,Overseas,All-Rounder,2022
18,Ashton Agar,Overseas,All-Rounder,2025
18,Ashton Agar,Overseas,All-Rounder,2024
11,Ashton Agar,Overseas,All-Rounder,2022
52,Ben Cutting,Overseas,All-Rounder,2025
52,Ben Cutting,Overseas,All-Rounder,2024
39,Ben Cutting,Overseas,All-Rounder,2022
79,Benny Howell,Overseas,All-Rounder,2025
79,Benny Howell,Overseas,All-Rounder,2024
88,Benny Howell,Overseas,All-Rounder,2023
373,Beyers Swanepoel,Overseas,All-Rounder,2022
51,Brydon Carse,Overseas,All-Rounder,2025
51,Brydon Carse,Overseas,All-Rounder,2024
36,Carlos Brathwaite,Overseas,All-Rounder,2023
43,Carlos Brathwaite,Overseas,All-Rounder,2022
60,Chamika Karunaratne,Overseas,All-Rounder,2023
50,Charith Asalanka,Overseas,All-Rounder,2025
50,Charith Asalanka,Overseas,All-Rounder,2024
57,Charith Asalanka,Overseas,All-Rounder,2023
51,Charith Asalanka,Overseas,All-Rounder,2022
132,Chris Green,Overseas,All-Rounder,2022
32,Colin  De Grandhomme,Overseas,All-Rounder,2022
22,Colin Munro,Overseas,All-Rounder,2022
81,Corbin Bosch,Overseas,All-Rounder,2025
81,Corbin Bosch,Overseas,All-Rounder,2024
96,Corbin Bosch,Overseas,All-Rounder,2023
309,Corbin Bosch,Overseas,All-Rounder,2022
9,Craig Overton,Overseas,All-Rounder,2023
12,Craig Overton,Overseas,All-Rounder,2022
98,Curtis Campher,Overseas,All-Rounder,2022
14,Daniel Sams,Overseas,All-Rounder,2025
14,Daniel Sams,Overseas,All-Rounder,2024
117,Danushka Gunatilaka,Overseas,All-Rounder,2022
34,Darcy Short,Overseas,All-Rounder,2023
34,Darcy Short,Overseas,All-Rounder,2022
19,Daryl Mitchell,Overseas,All-Rounder,2023
58,Dasun Shanaka,Overseas,All-Rounder,2025
58,Dasun Shanaka,Overseas,All-Rounder,2024
39,Dasun Shanaka,Overseas,All-Rounder,2023
89,Dasun Shanaka,Overseas,All-Rounder,2022
26,David Wiese,Overseas,All-Rounder,2025
26,David Wiese,Overseas,All-Rounder,2024
79,David Wiese,Overseas,All-Rounder,2022
119,Dhananjaya Lakshan,Overseas,All-Rounder,2022
70,Dhananjaya Silva,Overseas,All-Rounder,2023
58,Dominic Drakes,Overseas,All-Rounder,2023
144,Duan Jansen,Overseas,All-Rounder,2025
144,Duan Jansen,Overseas,All-Rounder,2024
354,Duan Jansen,Overseas,All-Rounder,2022
71,Dunith Wellalage,Overseas,All-Rounder,2023
386,Dunith Wellalage,Overseas,All-Rounder,2022
20,Dwaine Pretorius,Overseas,All-Rounder,2025
20,Dwaine Pretorius,Overseas,All-Rounder,2024
117,Evan Jones,Overseas,All-Rounder,2023
29,Fabian Allen,Overseas,All-Rounder,2025
29,Fabian Allen,Overseas,All-Rounder,2024
79,Fabian Allen,Overseas,All-Rounder,2023
116,Gareth Delany,Overseas,All-Rounder,2022
54,George Garton,Overseas,All-Rounder,2025
54,George Garton,Overseas,All-Rounder,2024
59,George Garton,Overseas,All-Rounder,2023
52,George Garton,Overseas,All-Rounder,2022
55,George Linde,Overseas,All-Rounder,2025
55,George Linde,Overseas,All-Rounder,2024
116,Gerald Coetzee,Overseas,All-Rounder,2023
264,Gerald Coetzee,Overseas,All-Rounder,2022
87,Gulbadin Naib,Overseas,All-Rounder,2022
288,Hayden Kerr,Overseas,All-Rounder,2023
185,Hayden Kerr,Overseas,All-Rounder,2022
383,Henry Shipley,Overseas,All-Rounder,2022
115,Hilton Cartwright,Overseas,All-Rounder,2022
322,Jack Prestwidge,Overseas,All-Rounder,2023
103,Jack Wildermuth,Overseas,All-Rounder,2022
141,Jake Fraser-Mcgurk,Overseas,All-Rounder,2025
141,Jake Fraser-Mcgurk,Overseas,All-Rounder,2024
33,James Faulkner,Overseas,All-Rounder,2022
87,James Fuller,Overseas,All-Rounder,2023
13,James Neesham,Overseas,All-Rounder,2025
13,James Neesham,Overseas,All-Rounder,2024
8,Jamie Overton,Overseas,All-Rounder,2025
8,Jamie Overton,Overseas,All-Rounder,2024
8,Jamie Overton,Overseas,All-Rounder,2023
12,Jason Holder,Overseas,All-Rounder,2025
12,Jason Holder,Overseas,All-Rounder,2024
351,Jason Sangha,Overseas,All-Rounder,2022
6,Jimmy Neesham,Overseas,All-Rounder,2023
385,Johan Van Dyk,Overseas,All-Rounder,2022
314,Johannes Smit,Overseas,All-Rounder,2022
287,Jordan Hermann,Overseas,All-Rounder,2023
85,Jordan Thompson,Overseas,All-Rounder,2023
80,Karim Janat,Overseas,All-Rounder,2023
75,Karim Janat,Overseas,All-Rounder,2022
30,Keemo Paul,Overseas,All-Rounder,2025
30,Keemo Paul,Overseas,All-Rounder,2024
83,Keemo Paul,Overseas,All-Rounder,2023
44,Keemo Paul,Overseas,All-Rounder,2022
56,Keshav Maharaj,Overseas,All-Rounder,2025
56,Keshav Maharaj,Overseas,All-Rounder,2024
81,Keshav Maharaj,Overseas,All-Rounder,2023
20,Lewis Gregory,Overseas,All-Rounder,2022
114,Mark Adnair,Overseas,All-Rounder,2022
379,Mark Deyal,Overseas,All-Rounder,2022
53,Matthew Forde,Overseas,All-Rounder,2025
53,Matthew Forde,Overseas,All-Rounder,2024
317,Matthew Forde,Overseas,All-Rounder,2023
59,Matthew Short,Overseas,All-Rounder,2025
59,Matthew Short,Overseas,All-Rounder,2024
360,Matthew Short,Overseas,All-Rounder,2022
19,Michael Bracewell,Overseas,All-Rounder,2025
19,Michael Bracewell,Overseas,All-Rounder,2024
23,Michael Bracewell,Overseas,All-Rounder,2023
283,Migael Pretorius,Overseas,All-Rounder,2022
20,Mohammad Nabi,Overseas,All-Rounder,2023
26,Moises Henriques,Overseas,All-Rounder,2023
30,Moises Henriques,Overseas,All-Rounder,2022
310,Nathan McAndrew,Overseas,All-Rounder,2022
390,Nivethan Radhakrishnan,Overseas,All-Rounder,2022
362,Nyeem Young,Overseas,All-Rounder,2022
60,Odean Smith,Overseas,All-Rounder,2025
60,Odean Smith,Overseas,All-Rounder,2024
176,Prenelan Subrayen,Overseas,All-Rounder,2025
176,Prenelan Subrayen,Overseas,All-Rounder,2024
325,Prenelan Subrayen,Overseas,All-Rounder,2023
49,Qais Ahamad,Overseas,All-Rounder,2025
49,Qais Ahamad,Overseas,All-Rounder,2024
56,Qais Ahmad,Overseas,All-Rounder,2023
29,Rahkeem Cornwall,Overseas,All-Rounder,2023
123,Raymon Reifer,Overseas,All-Rounder,2022
78,Rehan Ahmed,Overseas,All-Rounder,2023
28,Roston Chase,Overseas,All-Rounder,2023
29,Roston Chase,Overseas,All-Rounder,2022
368,Ryan John,Overseas,All-Rounder,2022
382,Safyaan Sharif,Overseas,All-Rounder,2022
100,Samit Patel,Overseas,All-Rounder,2022
68,Scott Kuggeleijn,Overseas,All-Rounder,2023
40,Scott Kuggeleijn,Overseas,All-Rounder,2022
7,Sean Abbott,Overseas,All-Rounder,2025
7,Sean Abbott,Overseas,All-Rounder,2024
15,Sean Abbott,Overseas,All-Rounder,2023
122,Seekkuge Prasanna,Overseas,All-Rounder,2022
346,Shafiqullah Ghafari,Overseas,All-Rounder,2022
3,Shakib Al Hasan,Overseas,All-Rounder,2022
69,Sisanda Magala,Overseas,All-Rounder,2023
120,Sisanda Magala,Overseas,All-Rounder,2022
101,Thisara Perera,Overseas,All-Rounder,2022
33,Tom Curran,Overseas,All-Rounder,2023
313,Tom Rogers,Overseas,All-Rounder,2022
30,Wayne Parnell,Overseas,All-Rounder,2023
99,Wayne Parnell,Overseas,All-Rounder,2022
48,Wesley Agar,Overseas,All-Rounder,2025
48,Wesley Agar,Overseas,All-Rounder,2024
57,Wiaan Mulder,Overseas,All-Rounder,2025
57,Wiaan Mulder,Overseas,All-Rounder,2024
14,Aaron Finch,Overseas,Batter,2022
223,Alex Ross,Overseas,Batter,2022
81,Avishka Fernando,Overseas,Batter,2022
69,Brandon King,Overseas,Batter,2022
18,Chris Lynn,Overseas,Batter,2022
42,Darren Bravo,Overseas,Batter,2022
15,Dawid Malan,Overseas,Batter,2022
258,Donavon Ferreira,Overseas,Batter,2022
16,Eoin  Morgan,Overseas,Batter,2022
85,Hashmatullah Shahidi,Overseas,Batter,2022
73,Hazratullah Zazai,Overseas,Batter,2022
263,Jake Weatherald,Overseas,Batter,2022
8,James Vince,Overseas,Batter,2022
70,Janneman Malan,Overseas,Batter,2022
84,Kurtis Patterson,Overseas,Batter,2022
128,Laurie Evans,Overseas,Batter,2022
23,Marnus Labuschagne,Overseas,Batter,2022
38,Martin Guptill,Overseas,Batter,2022
50,Najibullah Zadran,Overseas,Batter,2022
83,Pathum Nissaanka,Overseas,Batter,2022
71,Paul Stirling,Overseas,Batter,2022
28,Rilee Rossouw,Overseas,Batter,2022
80,Shamrah Brooks,Overseas,Batter,2022
2,Steve Smith,Overseas,Batter,2022
126,Tom Kohler-Cadmore,Overseas,Batter,2022
19,Usman Khawaja,Overseas,Batter,2022
82,Zubayr Hamza,Overseas,Batter,2022
41,Alick Athanaze,Overseas,Batter,2025
41,Alick Athanaze,Overseas,Batter,2024
45,Brandon King,Overseas,Batter,2025
45,Brandon King,Overseas,Batter,2024
50,Brandon King,Overseas,Batter,2023
7,Chris Lynn,Overseas,Batter,2023
49,Christiaan Jonker,Overseas,Batter,2023
11,Colin Munro,Overseas,Batter,2025
11,Colin Munro,Overseas,Batter,2024
11,Dawid Malan,Overseas,Batter,2023
28,Finn Allen,Overseas,Batter,2025
28,Finn Allen,Overseas,Batter,2024
54,Harry Tector,Overseas,Batter,2023
46,Ibrahim Zadran,Overseas,Batter,2025
46,Ibrahim Zadran,Overseas,Batter,2024
6,James Vince,Overseas,Batter,2025
6,James Vince,Overseas,Batter,2024
14,Jason Roy,Overseas,Batter,2023
42,Mark Chapman,Overseas,Batter,2025
42,Mark Chapman,Overseas,Batter,2024
144,Matthew Breetzke,Overseas,Batter,2023
47,Najibullah Zadran,Overseas,Batter,2025
47,Najibullah Zadran,Overseas,Batter,2024
55,Najibullah Zadran,Overseas,Batter,2023
52,Pathum Nissaanka,Overseas,Batter,2023
38,Paul Stirling,Overseas,Batter,2023
5,Rassie Van Der Dussen,Overseas,Batter,2025
5,Rassie Van Der Dussen,Overseas,Batter,2024
5,Rassie Van Der Dussen,Overseas,Batter,2023
44,Reeza Hendricks,Overseas,Batter,2025
44,Reeza Hendricks,Overseas,Batter,2024
48,Reeza Hendricks,Overseas,Batter,2023
43,Samuel Hain,Overseas,Batter,2025
43,Samuel Hain,Overseas,Batter,2024
12,Sherfane Rutherford,Overseas,Batter,2023
1,Steve Smith,Overseas,Batter,2025
1,Steve Smith,Overseas,Batter,2024
4,Travis Head,Overseas,Batter,2023
84,Will Smeed,Overseas,Batter,2023
3,Adam Milne,Overseas,Pacer,2023
7,Adam Zampa,Overseas,Spinner,2022
4,Adil Rashid,Overseas,Spinner,2022
251,Adithya Ashok,Overseas,Spinner,2022
63,Akila Dhananjaya,Overseas,Pacer,2022
131,Ali Khan,Overseas,Pacer,2022
249,Allah Ghazanfar,Overseas,Spinner,2024
188,Allah Mohammad,Overseas,Spinner,2023
24,Andrew Tye,Overseas,Pacer,2023
27,Andrew Tye,Overseas,Pacer,2022
62,Ben Dwarshuis,Overseas,Pacer,2023
133,Ben Dwarshuis,Overseas,Pacer,2022
66,Billy Stanlake,Overseas,Pacer,2023
45,Billy Stanlake,Overseas,Pacer,2022
112,Blair Tickner,Overseas,Pacer,2022
42,Blessing Muzarabani,Overseas,Pacer,2023
93,Blessing Muzarabani,Overseas,Pacer,2022
124,Brad Wheal,Overseas,Pacer,2022
2,Chris Jordan,Overseas,Pacer,2023
238,Chris Wood,Overseas,Pacer,2024
74,Daryn Dupavillon,Overseas,Pacer,2023
105,Daryn Dupavillon,Overseas,Pacer,2022
35,David Payne,Overseas,Pacer,2023
65,Dilshan Madushanka,Overseas,Pacer,2023
41,Dushmanta Chameera,Overseas,Pacer,2023
106,Fidel Edwards,Overseas,Pacer,2022
77,Glenton Stuurman,Overseas,Pacer,2023
107,Hamid Hassan,Overseas,Pacer,2022
104,Hamish Bennett,Overseas,Pacer,2022
68,Hayden Walsh,Overseas,Spinner,2022
5,Imran Tahir,Overseas,Spinner,2022
32,Ish Sodhi,Overseas,Spinner,2023
49,Ish Sodhi,Overseas,Spinner,2022
113,Isuru Udana,Overseas,Pacer,2022
108,Izharulhuq Naveed,Overseas,Spinner,2023
210,Izharulhuq Naveed,Overseas,Spinner,2022
209,Jacob Lintott,Overseas,Spinner,2022
94,Jayden Seales,Overseas,Pacer,2022
109,Joel Paris,Overseas,Pacer,2022
254,Jon Russ Jaggesar,Overseas,Spinner,2022
92,Josh Little,Overseas,Pacer,2022
21,Kane Richardson,Overseas,Pacer,2022
141,Karthik Meiyappan,Overseas,Pacer,2023
65,Keshav Maharaj,Overseas,Spinner,2022
256,Kevin Koththigoda,Overseas,Spinner,2022
323,Khwezi Gumede,Overseas,Pacer,2022
222,Kwena Maphaka,Overseas,Pacer,2024
64,Lahiru Kumara,Overseas,Pacer,2023
108,Lahiru Kumara,Overseas,Pacer,2022
89,Lance Morris,Overseas,Pacer,2023
389,Lance Morris,Overseas,Pacer,2022
324,Liam Guthrie,Overseas,Pacer,2022
325,Liam Hatcher,Overseas,Pacer,2022
25,Luke Wood,Overseas,Pacer,2023
9,Marchant De Lange,Overseas,Pacer,2022
200,Matheesha Pathirana,Overseas,Pacer,2022
27,Matt Henry,Overseas,Pacer,2023
135,Matt Kelly,Overseas,Pacer,2022
273,McKenny Clarke,Overseas,Pacer,2023
17,Mujeeb Rahman,Overseas,Spinner,2023
6,Mujeeb Zadran,Overseas,Spinner,2022
175,Nandre Burger,Overseas,Pacer,2023
272,Nandre Burger,Overseas,Pacer,2022
16,Nathan Coulter-Nile,Overseas,Pacer,2023
253,Nathan McAndrew,Overseas,Pacer,2023
78,Naveen  Ul Haq,Overseas,Pacer,2022
97,Neil Wagner,Overseas,Pacer,2022
279,Nuwan Thushara,Overseas,Pacer,2022
111,Oshane Thomas,Overseas,Pacer,2022
229,Ottneil Baartman,Overseas,Pacer,2023
320,Ottneil Baartman,Overseas,Pacer,2022
236,Paul Van Meekeren,Overseas,Pacer,2024
134,Paul Van Meekeren,Overseas,Pacer,2023
140,Peter Hatzoglou,Overseas,Pacer,2023
48,Qais Ahmad,Overseas,Pacer,2022
279,Ramon Simmonds,Overseas,Spinner,2023
36,Reece Topley,Overseas,Pacer,2022
63,Richard Gleeson,Overseas,Pacer,2023
13,Riley Meredith,Overseas,Pacer,2023
257,Ruben Trumpelmann,Overseas,Spinner,2023
294,Ruben Trumpelmann,Overseas,Spinner,2022
125,Sandeep Lamichhane,Overseas,Spinner,2022
10,Saqib Mahmood,Overseas,Pacer,2022
73,Sheldon Cottrel,Overseas,Pacer,2023
35,Sheldon Cottrell,Overseas,Pacer,2022
91,Shoriful Islam,Overseas,Pacer,2022
18,Tabraiz Shamsi,Overseas,Spinner,2023
25,Tabraiz Shamsi,Overseas,Spinner,2022
211,Tanveer Sangha,Overseas,Spinner,2022
40,Taskin Ahmed,Overseas,Pacer,2023
77,Taskin Ahmed,Overseas,Pacer,2022
86,Thomas Helm,Overseas,Pacer,2023
37,Todd Astle,Overseas,Spinner,2022
10,Tymal Mills,Overseas,Pacer,2023
66,Waqar Salamkheil,Overseas,Spinner,2022
90,Wesley Agar,Overseas,Pacer,2022
225,William O'Rourke,Overseas,Pacer,2024
24,Adam Milne,Overseas,Pacer,2025
24,Adam Milne,Overseas,Pacer,2024
66,Ben Dwarshuis,Overseas,Pacer,2025
34,Billy Stanlake,Overseas,Pacer,2025
71,Blessing Muzarabani,Overseas,Pacer,2025
71,Blessing Muzarabani,Overseas,Pacer,2024
15,Chris Jordan,Overseas,Pacer,2025
15,Chris Jordan,Overseas,Pacer,2024
238,Chris Wood,Overseas,Pacer,2025
65,Dushmanta Chameera,Overseas,Pacer,2025
65,Dushmanta Chameera,Overseas,Pacer,2024
64,Fareed Ahmad,Overseas,Pacer,2025
64,Fareed Ahmad,Overseas,Pacer,2024
86,Izharulhuq Naveed,Overseas,Pacer,2025
86,Izharulhuq Naveed,Overseas,Pacer,2024
3,Josh Hazlewood,Overseas,Pacer,2025
3,Josh Hazlewood,Overseas,Pacer,2024
222,Kwena Maphaka,Overseas,Pacer,2025
22,Kyle Jamieson,Overseas,Pacer,2025
22,Kyle Jamieson,Overseas,Pacer,2024
69,Lahiru Kumara,Overseas,Pacer,2025
69,Lahiru Kumara,Overseas,Pacer,2024
32,Lance Morris,Overseas,Pacer,2025
32,Lance Morris,Overseas,Pacer,2024
77,Lizaad Williams,Overseas,Pacer,2025
77,Lizaad Williams,Overseas,Pacer,2024
78,Luke Wood,Overseas,Pacer,2025
78,Luke Wood,Overseas,Pacer,2024
31,Matt Henry,Overseas,Pacer,2025
31,Matt Henry,Overseas,Pacer,2024
70,Obed Mccoy,Overseas,Pacer,2025
70,Obed Mccoy,Overseas,Pacer,2024
33,Ollie Robinson,Overseas,Pacer,2025
33,Ollie Robinson,Overseas,Pacer,2024
35,Olly Stone,Overseas,Pacer,2025
35,Olly Stone,Overseas,Pacer,2024
75,Oshane Thomas,Overseas,Pacer,2025
75,Oshane Thomas,Overseas,Pacer,2024
202,Ottneil Baartman,Overseas,Pacer,2025
202,Ottneil Baartman,Overseas,Pacer,2024
67,Richard Gleeson,Overseas,Pacer,2025
67,Richard Gleeson,Overseas,Pacer,2024
72,Richard Ngarava,Overseas,Pacer,2025
72,Richard Ngarava,Overseas,Pacer,2024
23,Riley Meredith,Overseas,Pacer,2025
23,Riley Meredith,Overseas,Pacer,2024
214,Shamar Joseph,Overseas,Pacer,2025
214,Shamar Joseph,Overseas,Pacer,2024
17,Tim Southee,Overseas,Pacer,2025
17,Tim Southee,Overseas,Pacer,2024
16,Tymal Mills,Overseas,Pacer,2025
16,Tymal Mills,Overseas,Pacer,2024
25,Wayne Parnell,Overseas,Pacer,2025
25,Wayne Parnell,Overseas,Pacer,2024
225,William O'Rourke,Overseas,Pacer,2025
4,Adil Rashid,Overseas,Spinner,2025
4,Adil Rashid,Overseas,Spinner,2024
38,Akeal Hosein,Overseas,Spinner,2025
38,Akeal Hosein,Overseas,Spinner,2024
249,Allah Ghazanfar,Overseas,Spinner,2025
66,Ben Dwarshuis,Overseas,Spinner,2024
34,Billy Stanlake,Overseas,Spinner,2024
73,George Scrimshaw,Overseas,Spinner,2025
73,George Scrimshaw,Overseas,Spinner,2024
27,Ish Sodhi,Overseas,Spinner,2025
27,Ish Sodhi,Overseas,Spinner,2024
39,Mohammad Waqar Salamkheil,Overseas,Spinner,2025
39,Mohammad Waqar Salamkheil,Overseas,Spinner,2024
236,Paul Van Meekeren,Overseas,Spinner,2025
40,Tabraiz Shamsi,Overseas,Spinner,2025
40,Tabraiz Shamsi,Overseas,Spinner,2024
55,Andre Fletcher,Overseas,Wicket Keeper,2022
59,Ben Mcdermott,Overseas,Wicket Keeper,2022
235,Cam Fletcher,Overseas,Wicket Keeper,2022
58,Heinrich Klaasen,Overseas,Wicket Keeper,2022
26,Joshua Philippe,Overseas,Wicket Keeper,2022
130,Kennar Lewis,Overseas,Wicket Keeper,2022
60,Kusal Mendis,Overseas,Wicket Keeper,2022
61,Kusal Perera,Overseas,Wicket Keeper,2022
53,Litton Das,Overseas,Wicket Keeper,2022
54,Niroshan Dickwella,Overseas,Wicket Keeper,2022
56,Rahmanullah Gurbaz,Overseas,Wicket Keeper,2022
238,Ryan Rickelton,Overseas,Wicket Keeper,2022
57,Shai Hope,Overseas,Wicket Keeper,2022
45,Andre Fletcher,Overseas,Wicket-Keeper,2023
9,Ben Duckett,Overseas,Wicket-Keeper,2025
9,Ben Duckett,Overseas,Wicket-Keeper,2024
216,Christopher Benjamin,Overseas,Wicket-Keeper,2023
217,Connor Esterhuizen,Overseas,Wicket-Keeper,2023
62,Johnson Charles,Overseas,Wicket-Keeper,2025
62,Johnson Charles,Overseas,Wicket-Keeper,2024
44,Johnson Charles,Overseas,Wicket-Keeper,2023
2,Josh Inglis,Overseas,Wicket-Keeper,2025
2,Josh Inglis,Overseas,Wicket-Keeper,2024
31,Joshua Philippe,Overseas,Wicket-Keeper,2023
37,Kusal Mendis,Overseas,Wicket-Keeper,2025
37,Kusal Mendis,Overseas,Wicket-Keeper,2024
37,Kusal Mendis,Overseas,Wicket-Keeper,2023
46,Lorcan Tucker,Overseas,Wicket-Keeper,2023
10,Philip Salt,Overseas,Wicket-Keeper,2025
10,Philip Salt,Overseas,Wicket-Keeper,2024
21,Sam Billings,Overseas,Wicket-Keeper,2025
21,Sam Billings,Overseas,Wicket-Keeper,2024
21,Shai Hope,Overseas,Wicket-Keeper,2023
1,Tom Banton,Overseas,Wicket-Keeper,2023
22,Tom Latham,Overseas,Wicket-Keeper,2023
193,William Salzmann,Overseas,Wicket-Keeper,2025
